"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6825","TS07 Balance Updated After Transfer","chromium","2026-06-15","passed","2026-06-15","","e2e\TS7BalanceUpdatedAfterTransfer.spec.ts","",""
"","5630","TS06 Successful Fund Transfer","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS06_TransferFunds.spec.ts","",""
"","9065","TS-02,Congratulations Message Validation","webkit","2026-06-14","passed","2026-06-14","","ui\TS02_congratulationValidation.spec.ts","",""
"","761","S5 Schema Validation","Microsoft Edge","2026-06-15","passed","2026-06-15","","api\TS5SchemeValidations.spec.ts","",""
"","724","TS-04 Account Type & Balance Validation","webkit","2026-06-14","passed","2026-06-14","","api\TS-04AccountTypeBalanceValidation.spec.ts","",""
"","37","TS-10 Empty Login Validation","firefox","2026-06-14","failed","2026-06-14","","ui\TS-10EmptyLoginValidation.spec.ts","",""
"","6381","TS13 Account Type 1","chromium","2026-06-15","passed","2026-06-15","","ui\TS13JsonDriven.spec.ts","",""
"","12992","TS13 Account Type 1","webkit","2026-06-14","passed","2026-06-14","","ui\TS13JsonDriven.spec.ts","",""
"","6812","TS-08 Before After Balance Comparison","chromium","2026-06-14","passed","2026-06-14","","api\TS08_BeforeAfterBalanceComparison.spec.ts","",""
"","6645","TS13 Account Type 0","chromium","2026-06-15","passed","2026-06-15","","ui\TS13JsonDriven.spec.ts","",""
"","2268","TS-01 Account Creation","firefox","2026-06-14","failed","2026-06-14","","ui\TS01_accountCreation.spec.ts","",""
"","314","TS12 Invalid Customer ID","chromium","2026-06-15","passed","2026-06-15","","api\TS12 InvalidCID.spec.ts","",""
"","453","get accounts","webkit","2026-06-14","passed","2026-06-14","","api\getAllAccounts.spec.ts","",""
"","364","TS-11 Invalid API Credentials","webkit","2026-06-14","passed","2026-06-14","","api\TS11InvalidApiCredentials.spec.ts","",""
"","2648","TS-09 Invalid Login","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS9InvalidLogin.spec.ts","",""
"","640","TS14 API Response Time","Microsoft Edge","2026-06-15","passed","2026-06-15","","api\TS14_APIResponseTime.spec.ts","",""
"","12300","TS-02,Congratulations Message Validation","firefox","2026-06-14","failed","2026-06-14","","ui\TS02_congratulationValidation.spec.ts","",""
"","486","TS11 Invalid API Credentials","chromium","2026-06-12","passed","2026-06-12","","api\TS11InvalidApiCredentials.spec.ts","",""
"","4434","TS-10 Unauthorized Page Access","chromium","2026-06-11","failed","2026-06-11","","ui\TS10UnauthorizedAccess.spec.ts","",""
"","578","TS-04AccountType&BalanceValidation","chromium","2026-06-11","passed","2026-06-11","","api\TS-04AccountTypeBalanceValidation.spec.ts","",""
"","3282","TS-10 Empty Login Validation","chromium","2026-06-15","passed","2026-06-15","","ui\TS10EmptyLoginValidation.spec.ts","",""
"","5878","TS-02,Congratulations Message Validation","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS2_congratulationValidation.spec.ts","",""
"","3694","TS-10 Empty Login Validation","chromium","2026-06-15","passed","2026-06-15","","ui\TS-10EmptyLoginValidation.spec.ts","",""
"","709","TS-05 Schema Validation","Microsoft Edge","2026-06-14","passed","2026-06-14","","api\TS05SchemeValidations.spec.ts","",""
"","9793","TS-01 Account Creation","webkit","2026-06-14","passed","2026-06-14","","ui\TS01_accountCreation.spec.ts","",""
"","499","TS-11 Invalid API Credentials","Microsoft Edge","2026-06-15","passed","2026-06-15","","api\TS11InvalidApiCredentials.spec.ts","",""
"","838","TS-04 Account Type & Balance Validation","firefox","2026-06-14","failed","2026-06-14","","api\TS-04AccountTypeBalanceValidation.spec.ts","",""
"","6302","TS-10 Empty Login Validation","chromium","2026-06-11","passed","2026-06-11","","ui\TS10UnauthorizedAccess.spec.ts","",""
"","5752","TS15 Request Loan","chromium","2026-06-15","passed","2026-06-15","","ui\TS08RequestLoan.spec.ts","",""
"","7716","Account Exists in API After UI Creation","Microsoft Edge","2026-06-15","passed","2026-06-15","","e2e\TS3AccAfterUI.spec.ts","",""
"","1203","TS-11 Invalid API Credentials","chromium","2026-06-15","passed","2026-06-15","","api\TS11InvalidApiCredentials.spec.ts","",""
"","7223","TS-02,Congratulations Message Validation","chromium","2026-06-15","passed","2026-06-15","","ui\TS2_congratulationValidation.spec.ts","",""
"","4639","Registration","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\register.spec.ts","",""
"","917","Account Type & Balance Validation","chromium","2026-06-15","passed","2026-06-15","","api\TS-04AccountTypeBalanceValidation.spec.ts","",""
"","21425","TS13 Account Type 0","firefox","2026-06-14","passed","2026-06-14","","ui\TS13JsonDriven.spec.ts","",""
"","82","Registration","firefox","2026-06-14","failed","2026-06-14","","ui\register.spec.ts","",""
"","7879","TS07 Balance Updated After Transfer","Microsoft Edge","2026-06-15","passed","2026-06-15","","e2e\TS7BalanceUpdatedAfterTransfer.spec.ts","",""
"","816","Account Type & Balance Validation","chromium","2026-06-15","passed","2026-06-15","","api\TS4AccountTypeBalanceValidation.spec.ts","",""
"","671","TS14 API Response Time","chromium","2026-06-15","passed","2026-06-15","","api\TS14_APIResponseTime.spec.ts","",""
"","10125","TS-02,Congratulations Message Validation","chromium","2026-06-12","passed","2026-06-12","","TS02_congratulationValidation.spec.ts","",""
"","12609","TS-01 Successful Account Creation","chromium","2026-06-11","passed","2026-06-11","","ui\accountCreation.spec.ts","",""
"","8798","TS-01 Account Creation","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS1_accountCreation.spec.ts","",""
"","6","TS06 Successful Fund Transfer","firefox","2026-06-14","failed","2026-06-14","","ui\TS06_TransferFunds.spec.ts","",""
"","642","Account Type & Balance Validation","Microsoft Edge","2026-06-15","passed","2026-06-15","","api\TS4AccountTypeBalanceValidation.spec.ts","",""
"","2961","TS-09 Invalid Login","chromium","2026-06-15","passed","2026-06-15","","ui\TS09InvalidLogin.spec.ts","",""
"","1496","TS-04 Account Type & Balance Validation","chromium","2026-06-14","passed","2026-06-14","","api\TS-04AccountTypeBalanceValidation.spec.ts","",""
"","3078","TS-10 Empty Login Validation","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS-10EmptyLoginValidation.spec.ts","",""
"","1008","TS14 API Response Time","firefox","2026-06-14","failed","2026-06-14","","api\TS14_APIResponseTime.spec.ts","",""
"","7206","TS03","Microsoft Edge","2026-06-14","passed","2026-06-14","","e2e\TS03AccAfterUI.spec.ts","",""
"","5614","TS-10 Empty Login Validation","webkit","2026-06-14","passed","2026-06-14","","ui\TS-10EmptyLoginValidation.spec.ts","",""
"","610","TS-05 Schema Validation","chromium","2026-06-14","passed","2026-06-14","","api\TS05SchemeValidations.spec.ts","",""
"","8313","TS-01 Account Creation","chromium","2026-06-15","passed","2026-06-15","","ui\TS1_accountCreation.spec.ts","",""
"","8150","TS07 Balance Updated After Transfer","webkit","2026-06-14","passed","2026-06-14","","e2e\TS07_BalanceUpdatedAfterTransfer.spec.ts","",""
"","3247","TS-10 Empty Login Validation","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS10EmptyLoginValidation.spec.ts","",""
"","6744","TS15 Request Loan","chromium","2026-06-15","passed","2026-06-15","","ui\TS8RequestLoan.spec.ts","",""
"","5631","TS15 Request Loan","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS8RequestLoan.spec.ts","",""
"","593","TS-05 Schema Validation","webkit","2026-06-14","passed","2026-06-14","","api\TS05SchemeValidations.spec.ts","",""
"","907","TS12 Invalid Customer ID","firefox","2026-06-14","failed","2026-06-14","","api\TS12 InvalidCID.spec.ts","",""
"","884","get accounts","chromium","2026-06-11","passed","2026-06-11","","api\TS-getAllAccounts.spec.ts","",""
"","6421","TS13 Account Type 1","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS13JsonDriven.spec.ts","",""
"","6036","TS06 Successful Fund Transfer","Microsoft Edge","2026-06-15","passed","2026-06-15","","ui\TS6_TransferFunds.spec.ts","",""
"","7211","Account Exists in API After UI Creation","chromium","2026-06-15","passed","2026-06-15","","e2e\TS3AccAfterUI.spec.ts","",""
"","7108","TS-01 Account Creation","chromium","2026-06-15","passed","2026-06-15","","ui\TS01_accountCreation.spec.ts","",""
"","547","TS-05SchemaValidation","chromium","2026-06-12","passed","2026-06-12","","api\TS05SchemeValidations.spec.ts","",""
"","9543","TS-08 Before After Balance Comparison","webkit","2026-06-14","passed","2026-06-14","","api\TS08_BeforeAfterBalanceComparison.spec.ts","",""
"","790","get accounts","firefox","2026-06-14","failed","2026-06-14","","api\getAllAccounts.spec.ts","",""
"","32355","TS-08 Before After Balance Comparison","firefox","2026-06-14","passed","2026-06-14","","api\TS08_BeforeAfterBalanceComparison.spec.ts","",""
"","16953","TS-09 Invalid Login","firefox","2026-06-14","passed","2026-06-14","","ui\TS09InvalidLogin.spec.ts","",""
"","347","TS-Login | Successful Login","chromium","2026-06-11","passed","2026-06-11","","ui\login.spec.ts","",""
"","5065","TS-09 Invalid Login","webkit","2026-06-14","passed","2026-06-14","","ui\TS09InvalidLogin.spec.ts","",""
"","878","TS-05 Schema Validation","firefox","2026-06-14","failed","2026-06-14","","api\TS05SchemeValidations.spec.ts","",""
"","15841","TS13 Account Type 1","firefox","2026-06-14","passed","2026-06-14","","ui\TS13JsonDriven.spec.ts","",""
"","7365","Account Exists in API After UI Creation","chromium","2026-06-15","passed","2026-06-15","","e2e\TS03AccAfterUI.spec.ts","",""
